created_at,entry_id,field1
2018-04-16 15:36:00 UTC,594387,23.38
2018-04-16 15:37:34 UTC,594388,23.31
2018-04-16 15:39:07 UTC,594389,23.31
2018-04-16 15:40:40 UTC,594390,23.31
2018-04-16 15:42:16 UTC,594391,23.31
2018-04-16 15:43:49 UTC,594392,23.31
2018-04-16 15:45:23 UTC,594393,23.31
2018-04-16 15:46:56 UTC,594394,23.31
2018-04-16 15:48:30 UTC,594395,23.31
2018-04-16 15:50:03 UTC,594396,23.31
2018-04-16 15:51:37 UTC,594397,23.31
2018-04-16 15:53:11 UTC,594398,23.31
2018-04-16 15:54:44 UTC,594399,23.25
2018-04-16 15:56:19 UTC,594400,23.25
2018-04-16 15:57:51 UTC,594401,23.25
2018-04-16 15:59:25 UTC,594402,23.25
2018-04-16 16:00:59 UTC,594403,23.25
2018-04-16 16:02:32 UTC,594404,23.25
2018-04-16 16:04:06 UTC,594405,23.25
2018-04-16 16:05:39 UTC,594406,23.25
2018-04-16 16:07:13 UTC,594407,23.25
2018-04-16 16:08:47 UTC,594408,23.25
2018-04-16 16:10:22 UTC,594409,23.19
2018-04-16 16:11:54 UTC,594410,23.19
2018-04-16 16:13:28 UTC,594411,23.19
2018-04-16 16:15:02 UTC,594412,23.19
2018-04-16 16:16:36 UTC,594413,23.19
2018-04-16 16:18:08 UTC,594414,23.19
2018-04-16 16:19:42 UTC,594415,23.12
2018-04-16 16:21:16 UTC,594416,23.12
2018-04-16 16:22:49 UTC,594417,23.12
2018-04-16 16:24:23 UTC,594418,23.12
2018-04-16 16:25:57 UTC,594419,23.12
2018-04-16 16:27:30 UTC,594420,23.12
2018-04-16 16:29:04 UTC,594421,23.12
2018-04-16 16:30:38 UTC,594422,23.12
2018-04-16 16:32:12 UTC,594423,23.12
2018-04-16 16:33:45 UTC,594424,23.12
2018-04-16 16:35:18 UTC,594425,23.12
2018-04-16 16:36:52 UTC,594426,23.12
2018-04-16 16:38:26 UTC,594427,23.12
2018-04-16 16:39:59 UTC,594428,23.12
2018-04-16 16:41:33 UTC,594429,23.12
2018-04-16 16:43:06 UTC,594430,23.12
2018-04-16 16:44:40 UTC,594431,23.12
2018-04-16 16:46:15 UTC,594432,23.19
2018-04-16 16:47:47 UTC,594433,23.19
2018-04-16 16:49:21 UTC,594434,23.19
2018-04-16 16:50:55 UTC,594435,23.19
2018-04-16 16:52:28 UTC,594436,23.19
2018-04-16 16:54:02 UTC,594437,23.25
2018-04-16 16:55:35 UTC,594438,23.25
2018-04-16 16:57:10 UTC,594439,23.25
2018-04-16 16:58:42 UTC,594440,23.31
2018-04-16 17:00:16 UTC,594441,23.31
2018-04-16 17:01:50 UTC,594442,23.31
2018-04-16 17:03:24 UTC,594443,23.31
2018-04-16 17:04:57 UTC,594444,23.31
2018-04-16 17:06:31 UTC,594445,23.38
2018-04-16 17:08:05 UTC,594446,23.38
2018-04-16 17:09:38 UTC,594447,23.38
2018-04-16 17:11:11 UTC,594448,23.38
2018-04-16 17:12:45 UTC,594449,23.44
2018-04-16 17:14:20 UTC,594450,23.44
2018-04-16 17:15:52 UTC,594451,23.44
2018-04-16 17:17:28 UTC,594452,23.44
2018-04-16 17:18:59 UTC,594453,23.50
2018-04-16 17:20:35 UTC,594454,23.50
2018-04-16 17:22:08 UTC,594455,23.50
2018-04-16 17:23:40 UTC,594456,23.56
2018-04-16 17:25:14 UTC,594457,23.56
2018-04-16 17:26:48 UTC,594458,23.62
2018-04-16 17:28:21 UTC,594459,23.62
2018-04-16 17:29:55 UTC,594460,23.62
2018-04-16 17:31:29 UTC,594461,23.69
2018-04-16 17:33:02 UTC,594462,23.69
2018-04-16 17:34:36 UTC,594463,23.75
2018-04-16 17:36:10 UTC,594464,23.75
2018-04-16 17:37:43 UTC,594465,23.75
2018-04-16 17:39:16 UTC,594466,23.62
2018-04-16 17:40:51 UTC,594467,23.56
2018-04-16 17:42:26 UTC,594468,23.50
2018-04-16 17:43:57 UTC,594469,23.44
2018-04-16 17:45:31 UTC,594470,23.50
2018-04-16 17:47:05 UTC,594471,23.50
2018-04-16 17:48:43 UTC,594472,23.50
2018-04-16 17:50:12 UTC,594473,23.50
2018-04-16 17:51:45 UTC,594474,23.50
2018-04-16 17:53:19 UTC,594475,23.50
2018-04-16 17:54:52 UTC,594476,23.50
2018-04-16 17:56:26 UTC,594477,23.56
2018-04-16 17:58:00 UTC,594478,23.56
2018-04-16 17:59:33 UTC,594479,23.56
2018-04-16 18:01:07 UTC,594480,23.56
2018-04-16 18:02:41 UTC,594481,23.62
2018-04-16 18:04:14 UTC,594482,23.62
2018-04-16 18:05:48 UTC,594483,23.62
2018-04-16 18:07:22 UTC,594484,23.62
2018-04-16 18:08:55 UTC,594485,23.62
2018-04-16 18:10:29 UTC,594486,23.62
